RGID,RGLB,RGPL,RGPU,RGSM
7739.1,lib2,illumina,7739.1,PS22_2_T1
7739.1,lib2,illumina,7739.1,PS22_16_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_1_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_4_T1
H2HY2DSX7.1,lib1,illumina,H2HY2DSX7.1,PS23_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_6_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_7_T1
HH3LFDSX5.1,lib1,illumina,HH3LFDSX5.1,PS23_8_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_10_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_11_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS23_12_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_1_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_6_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_7_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_8_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_10_T1
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS24_11_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS24_12_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_1_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_6_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_7_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_8_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_10_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_11_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_12_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_13_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS25_14_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_1_T1
HH2W5DSX5.2,lib1,illumina,HH2W5DSX5.2,PS26_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_5_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS26_6_T1
HH2W5DSX5.2,lib1,illumina,HH2W5DSX5.2,PS26_7_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS26_8_T1
